AAL,American Airlines joins others in suspending some China flights as demand sags,UPDATE 2-American Airlines joins others in suspending some China flights as demand sags,American Airlines to suspend flights to China
AAPL,US STOCKS SNAPSHOT-S&P 500 fades to end lower after Fed policy announcement,"US STOCKS-Apple, Boeing lift Wall Street as Fed stands pat","US STOCKS-Apple, Boeing lift Wall Street ahead of Fed decision",Apple's iPhone strength is back and analysts say it is here to stay,"US STOCKS-Wall St edges higher on Apple, Boeing strength; Fed in focus","US STOCKS SNAPSHOT-Apple, Boeing bolster Wall Street at open",US STOCKS-Futures gain as Apple earnings take some focus off virus concerns,Foxconn says plans in place to meet production obligations after virus outbreak,"GLOBAL MARKETS-Asian stocks rise as Apple drives tech gains, virus worries ease",Apple's iPhone back to growth as company braces for coronavirus impact
ADM,CORRECTED-UPDATE 1-ADM profit beats estimates on strength in refined products unit,ADM quarterly profit surges 60%
AMZN,UPS doubling down on weekend deliveries as e-commerce booms and Amazon looms
ANTM,"Anthem's growing, low-margin government business to hurt medical costs",Anthem Inc quarterly profit more than doubles
BA,US STOCKS SNAPSHOT-S&P 500 fades to end lower after Fed policy announcement,Boeing posts first annual loss in two decades as 737 MAX costs near $19 billion,"Stanley Black & Decker buys Boeing supplier CAM for $1.5 billion, with caveat","US STOCKS SNAPSHOT-Apple, Boeing bolster Wall Street at open",Textron to increase the number of Boeing 737 MAX simulators in production,"US STOCKS-Wall St set for gains as Apple, Boeing take focus off coronavirus",Textron to increase the number of Boeing 737 MAX simulators in production,Boeing 737 MAX charges to top $18 bln
CHK,Chesapeake cuts debt by $900 million in fourth quarter,Chesapeake Energy expects higher quarterly production
CVS,CVS offers option for diabetes drugs with no out-of-pocket cost,CVS to offer diabetes drugs at no out-of-pocket costs for PBM members
F,Ford's Lincoln to partner with Rivian to make electric vehicles,Ford to resume production at China joint venture with Changan on February 10
FB,IN BRIEF: Facebook taps top privacy lawyer from First Republic,"News Corp. launches news aggregation site Knewz to counter Facebook, Google","REFILE-Facebook just beats estimates for daily active users, costs rise"
GD,General Dynamics tops profit estimates; submarine order beefs up backlog,General Dynamics profit gets boost from higher Gulfstream deliveries
GE,US STOCKS SNAPSHOT-S&P 500 fades to end lower after Fed policy announcement,"GE shares jump 10% on profit beat, higher 2020 cash target",GE profit rises 30% on aviation boost
GOOG,Google temporarily shutting down all China offices,Google temporarily shutting down all China offices - The Verge
GOOGL,Google temporarily shutting down all China offices,Google temporarily shutting down all China offices - The Verge
GS,Goldman Sachs sets growth targets but urges investor patience,Focus at Goldman's first investor day will be on its consumer bank Marcus
HES,Hess posts bigger-than-expected quarterly loss on natgas hit,Oil producer Hess reports bigger quarterly loss
JNJ,Johnson & Johnson working on vaccine for deadly coronavirus,Johnson & Johnson starts developing vaccine for coronavirus
JPM,JPMorgan plans to cut hundreds of jobs in consumer unit: Bloomberg
LB,L Brands CEO in talks to step aside and sell Victoria's Secret: WSJ,L Brands CEO in talks to step aside and sell Victoria's Secret -WSJ
LYB,Lyondell Houston refinery gasoline unit raises production: sources
MA,Mastercard beats profit estimates on strong holiday season spending,Mastercard profit rises 25% on higher transactions
MCD,McDonald's sees 2020 spending on tech after sales beat; breakfast competition looms,McDonald's quarterly comparable sales rise above Wall Street estimates
MDLZ,Oreo maker Mondelez sees coronavirus hurting first-quarter sales,Mondelez sees first quarter revenue hit on coronavirus outbreak,Mondelez sees first quarter revenue hit on coronavirus outbreak,Mondelez beats quarterly revenue estimates
MPC,Marathon profit plunges on $1.2 billion pipeline unit writedown,Marathon Petroleum profit falls 53% on $1.2 bln charge
MS,"Morgan Stanley warns coronavirus could drag on global, Chinese GDP growth"
MSFT,Microsoft beats second-quarter revenue estimates
NDAQ,Nasdaq profit tops views as non-trading units take flight,Nasdaq profit rises 4% on non-trading business strength
NFLX,"Canada panel urges taxes and domestic content rules for Netflix, other U.S. firms"
PYPL,"PayPal forecasts 2020 profit below estimates, shares fall",PayPal posts 13% fall in quarterly profit
RCL,Royal Caribbean sees profit hit after cancelling three cruises amid coronavirus outbreak,UPDATE 1-Royal Caribbean sees profit hit after cancelling three cruises amid coronavirus outbreak,Cruise operator Royal Caribbean cancels three trips on coronavirus outbreak
SWK,Deals of the day-Mergers and acquisitions,"Stanley Black & Decker buys Boeing supplier CAM for $1.5 billion, with caveat"
T,AT&T revenue falls short ahead of HBO Max launch,AT&T posts more-than-expected net new subscribers
TXT,Textron to increase the number of Boeing 737 MAX simulators in production,Textron to increase the number of Boeing 737 MAX simulators in production
UPS,UPS doubling down on weekend deliveries as e-commerce booms and Amazon looms,"UPS teams with Arrival and Waymo in electric, self-driving push"
WFC,Wells Fargo files for up to $66 billion mixed shelf offering
WMT,BP can’t strip post-Katrina Walmart of Deepwater settlement award – 5th Circuit
