AAPL,"House Republicans query Apple, Alphabet on privacy, data practices","House Republicans demand answers from Apple, Alphabet on privacy, data practices"
BA,Embraer shareholder files complaint against Boeing deal: paper,Saudi Arabian Airlines in Boeing 777X order talks: sources,Saudi Arabian Airlines in Boeing 777X order talks - sources,New Zealand to buy Boeing P-8 patrol planes to boost South Pacific surveillance
BLK,"BlackRock expands in Paris with new hires ahead of Brexit, source says"
C,"REFILE-RPT-Citigroup, with limited options, hopes to lure deposits digitally","Citigroup, with limited options, hopes to lure deposits digitally",Citi bolsters Paris hub ahead of Brexit
CAT,"US STOCKS-Bank, industrial stocks lift Wall St as investors await strong quarter"
CB,Dividend Sensei's Portfolio Update 42: 3 Reasons A Perfect Jobs Report Spells Great News For Stocks
CMCSA,Fox preparing to top Comcast offer for Sky: FT,Comcast lining up buyers for Fox sports assets: sources
FOXA,Fox preparing to top Comcast offer for Sky: FT
GOOG,"Uber, Alphabet invest in bike sharing service Lime","House Republicans query Apple, Alphabet on privacy, data practices","House Republicans demand answers from Apple, Alphabet on privacy, data practices"
GOOGL,"Uber, Alphabet invest in bike sharing service Lime","House Republicans query Apple, Alphabet on privacy, data practices","House Republicans demand answers from Apple, Alphabet on privacy, data practices"
GS,"MOVES-Goldman Sachs, Standard Chartered, GAM Investments"
HPE,"HPE could mitigate impact of future U.S. tariffs, CEO says","HPE could mitigate potential tariff impacts, CEO says"
JPM,JPMorgan promotes to Carsten Woehrn to new role of head of EMEA Infrastructure M&A
LOW,Lowe's to scrap four positions including chief operating officer
MSFT,Judge says no 'glue' to hold together Microsoft sex bias claims
MYL,BRIEF-Mylan Adds To Central Nervous System Portfolio With Launch Of Generic Exelon® Patch
PFE,Trump slams Pfizer after July 1 drug price hikes
RIG,"Wage talks with Norway oil drilling workers go into overtime, strike threat looms"
SBUX,"Starbucks' departing chairman backs China prospects, hints at Jack Ma tie-up",Starbucks' Schultz urges investor support despite China concerns
SJM,"J.M. Smucker to sell Pillsbury, other U.S. baking brands for $375 million"
SRE,Mexico's IEnova to invest $150 mln in Sinaloa fuel terminal
SWK,"Stanley Black & Decker units to pay $100 million for site cleanup, U.S. says"
VLO,Valero's Memphis refinery shuts crude unit for repairs: sources
